year;age1;age0;capelin;temp;age4.6;trawl.type
1980;1.526056303;4.110873864;6.492239835;7.4;15.32;1
1981;-0.223143551;4.17438727;6.599870499;6.6;14.85;1
1982;5.029784113;4.912654886;6.625392368;7.1;14.66;1
1983;7.921172722;6.12905021;5.973809612;8.1;14.69;1
1984;3.90197267;6.326149473;4.691347882;7.7;15.16;1
1985;6.500989325;6.609349243;2.63905733;7.1;15.69;1
1986;3.424262655;6.073044534;3.663561646;7.5;16.34;1
1987;1.16315081;4.624972813;3.912023005;6.2;16.12;1
1988;2.104134154;4.890349128;5.342334252;7;15.81;1
1989;5.33368451;5.308267697;6.795705775;8.6;15.17;1
1990;6.132312856;6.142037406;6.923628628;8.1;15.22;1
1991;4.84103251;6.64118217;6.519147288;7.7;15.55;1
1992;6.28133173;7.055312843;4.317488114;7.5;16.13;1
1993;6.943025893;6.8134446;3.33220451;7.5;16.59;2
1994;8.566573658;6.801283034;2.833213344;7.7;16.78;2
1995;8.66016736;6.974478911;4.564348191;7.6;16.42;2
1996;8.479595161;7.04053639;4.941642423;7.6;15.84;2
1997;7.790902792;6.981934677;5.572154032;7.3;15.67;2
1998;6.183323808;6.356107661;5.65248918;8.4;15.88;2
1999;4.858260814;5.267858159;6.388561406;7.4;16.2;2
2000;6.489052944;6.768493212;5.897153868;7.6;16.46;2
2001;3.563882964;5.356586275;5.303304908;6.9;16.51;2
2002;8.003597067;6.961296046;4.644390899;8.6;16.39;2
